country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
FR,2013,29880413.674704615,31143346.105124664,0.0,0.0,4522.672086720867,1916.6124661246613,193.8780487804878,41.111111111111114,48.989159891598916,64.84281842818429,24163054.460362054,792531.9257120275,2142867.297774797,0.0,0.279564005521599,0.011052749502620328,0.07114580354601627
FR,2014,25679238.249454793,26909194.388172876,0.0,0.0,4549.699468085107,1906.9813829787233,187.81648936170214,0.0,50.609042553191486,76.04255319148936,20620631.59219628,651906.7480932229,1887526.318353988,0.1252199940893617,0.27999270135587767,0.0,0.06631363296066486
FR,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85978835978836,78.71693121693121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.83733333333333,79.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,2017,0.0,0.0,0.0,0.0,4276.2962962962965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22290204435740746,0.0,0.05448885436615078
GR,2011,0.0,0.0,0.0,0.0,6489.9,1224.02,482.84,34.52,36.06,70.98,0.0,0.0,0.0,0.2586254134839999,0.4297585911299999,0.015433328408419999,0.07289547096659998
GR,2012,0.0,0.0,0.0,0.0,6734.2,1226.02,477.74,30.44,29.16,84.3,0.0,0.0,0.0,0.25550799978600003,0.41179119718639995,0.0156358531924,0.06734565631732002
GR,2013,0.0,0.0,0.0,0.0,7194.936170212766,1323.3617021276596,490.7659574468085,33.91489361702128,38.8936170212766,93.02127659574468,0.0,0.0,0.0,0.2389727963106383,0.41318833022127655,0.017159868084255316,0.06969092976902128
GR,2014,0.0,0.0,0.0,0.0,13591.551020408164,0.0,472.57142857142856,0.0,57.795918367346935,101.42857142857143,0.0,0.0,0.0,0.2525916509204082,0.37697529228755094,0.0,0.0
GR,2015,0.0,0.0,0.0,0.0,15084.553191489362,1440.3191489361702,503.1914893617021,42.5531914893617,74.51063829787235,119.76595744680851,0.0,0.0,0.0,0.24564037169361702,0.4038892028410638,0.018295665197765956,0.019543096467170215
