ETER_ID,institution_name,English Institution Name,reference_year,country_code,latitude,longitude,total_current_expenditure_PPP,basic_government_allocation_PPP,private_third_party_funding_PPP,total_current_revenues_PPP,total_academic_staff_FTE,total_students_enrolled_ISCED_5-7,total_students_enrolled_ISCED_8,ReD_expenditure_PPP,erasmus_incoming_students_ISCED_5,erasmus_incoming_students_ISCED_6,erasmus_incoming_students_ISCED_7,erasmus_incoming_students_ISCED_8,erasmus_incoming_staff,TOTAL_ISCED8 ,staff_to_student_ratio,doctorate_to_stundents_ratio,doctorate_to_accademic_staff,research_income,proportion_of_international_students,proportion_international_staff
AT0070,FH Gesundheitsberufe Oberösterreich,University of Applied Sciences for Health Professions Upper Austria,2015,AT,"48,302102","14,310824",m,m,m,m,"196,25","806,25",a,m,0,11,0,a,6,#VALUE!,"0,06725585938",#VALUE!,"14,868593",#VALUE!,"0,1484375",#VALUE!
AT0071,Karl Landsteiner Privatuniversität für Gesundheitswissenschaften,Karl Landsteiner University of Health Sciences,2015,AT,"48,407426","15,588643",m,m,m,m,"38,75","118,6666667",a,m,a,0,0,a,0,11,"0,2434108527",#VALUE!,"4,108280255",#VALUE!,#VALUE!,"0,03057324841"
BE0005,Université de Namur,University of Namur,2015,BE,"50,4662458","4,8605017",m,m,m,m,m,m,m,m,1,28,27,1,1,#VALUE!,"0,3265449438",#VALUE!,"3,062365591",#VALUE!,"0,09269662921",0
BE0006,Université Saint-Louis - Bruxelles (USL-B),,2015,BE,"50,8540333","4,3619845",m,m,m,m,m,m,m,m,0,114,17,0,0,56,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0007,Université Catholique de Louvain (UCLouvain),,2015,BE,"50,669698","4,61559",m,m,m,m,m,m,m,m,0,248,246,32,10,131,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0008,Université de Liège (ULiège),University of Liège,2015,BE,"50,583055","5,559106",m,m,m,m,m,m,m,m,10,324,276,32,45,494,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0009,Université de Mons (UMONS),University of Mons,2015,BE,"50,4586454","3,9521766",m,m,m,m,m,m,m,m,4,69,37,5,5,610,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0010,Université Libre de Bruxelles (ULB),,2015,BE,"50,8119483","4,3826169",m,m,m,m,m,m,m,m,0,343,308,15,13,110,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0011,Haute Ecole Groupe I.C.H.E.C. - I.S.C. Saint-Louis - I.S.F.S.C.,,2015,BE,"50,8384717","4,4085494",m,m,m,m,m,m,m,m,0,75,24,0,0,651,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0012,Haute Ecole Albert Jacquard (HEAJ),,2015,BE,"50,4669577","4,8625226",m,m,m,m,m,m,m,m,2,7,0,0,2,99,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0014,Haute Ecole Charlemagne (HEC),,2015,BE,"50,6234794","5,5746307",m,m,m,m,m,m,m,m,0,30,1,0,1,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0015,Haute Ecole de Bruxelles,,2015,BE,"50,813837","4,367514",m,m,m,m,m,m,m,m,1,49,0,1,1,31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0016,Haute Ecole en Hainaut (HEH),,2015,BE,"50,4598267","3,9559358",m,m,m,m,m,m,m,m,0,7,0,0,0,50,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0017,Haute Ecole Robert Schuman (HERS),,2015,BE,"49,928024","5,378817",m,m,m,m,m,m,m,m,0,0,0,0,0,7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0018,Haute Ecole Paul-Henri Spaak,,2015,BE,"50,818927","4,36771",m,m,m,m,m,m,m,m,0,21,3,0,3,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0019,Haute Ecole de la Province de Liège (HEPL),,2015,BE,"50,620464","5,5152977",m,m,m,m,m,m,m,m,4,62,10,0,3,24,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0020,Haute Ecole de la Province de Namur (HEPN),,2015,BE,"50,4653515","4,8395318",m,m,m,m,m,m,m,m,4,2,0,0,2,76,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0021,Haute Ecole de la Ville de Liège (HEL),,2015,BE,"50,6397571","5,569953",m,m,m,m,m,m,m,m,0,0,0,0,0,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0024,Haute Ecole Francisco Ferrer (HEFF),,2015,BE,"50,8405936","4,3423287",m,m,m,m,m,m,m,m,0,11,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0025,Haute Ecole Galilée (HEG),,2015,BE,"50,8582322","4,3680852",m,m,m,m,m,m,m,m,2,42,9,0,6,11,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0026,Haute Ecole Léonard de Vinci (HELdV),,2015,BE,"50,849913","4,4537721",m,m,m,m,m,m,m,m,0,70,10,0,13,53,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0027,Haute Ecole Libre de Bruxelles Ilya Prigogine (H.E.L.B.),,2015,BE,"50,8210471","4,3400327",m,m,m,m,m,m,m,m,1,17,1,0,0,80,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0028,Haute Ecole Libre Mosane (HELMo),,2015,BE,"50,6445277","5,565953",m,m,m,m,m,m,m,m,2,51,0,0,5,19,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0029,Haute École Louvain en Hainaut (HELHa),,2015,BE,"50,4515068","3,9822532",m,m,m,m,m,m,m,m,1,18,2,0,0,53,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0030,Haute Ecole Lucia de Brouckère (HELdB),,2015,BE,"50,8154713","4,2948127",m,m,m,m,m,m,m,m,0,2,0,0,0,21,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0031,Haute Ecole Provinciale du Hainaut - Condorcet (HEPHC),,2015,BE,"50,46385","3,9527548",m,m,m,m,m,m,m,m,0,12,12,0,0,2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0032,Académie des Beaux-Arts de Tournai,,2015,BE,"50,6076614","3,3900159",m,m,m,m,m,m,m,m,0,8,4,0,3,24,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0033,Académie Royale des Beaux-Arts de la Ville de Bruxelles,,2015,BE,"50,843661","4,347247",m,m,m,m,m,m,m,m,0,13,11,3,0,12,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0034,Ecole supérieure des Arts de la Ville de Liège -Académie Royale des Beaux-Arts de Liège,,2015,BE,"50,6470445","5,5687346",m,m,m,m,m,m,m,m,0,11,5,0,1,24,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0035,Conservatoire royal de Bruxelles,,2015,BE,"50,83935952","4,3557521",m,m,m,m,m,m,m,m,0,14,6,0,3,16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0036,Conservatoire royal de Liège,,2015,BE,"50,635406","5,570046",m,m,m,m,m,m,m,m,0,3,0,0,0,20,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0038,Ecole supérieure des Arts du Cirque (E.S.A.C.),,2015,BE,"50,8150669","4,2975849",m,m,m,m,m,m,m,m,a,a,a,a,a,3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
