institution_name,ETER_ID,reference_year,country_code,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
Université de technologie de Compiègne,FR0130,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure de chimie organique et minérale,FR0131,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université d'Artois,FR0132,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Ecole nationale des finances publiques,FR0134,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'architecture de Clermont-Ferrand,FR0136,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
VetAgro Sup Lempdes,FR0138,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Pau et des Pays de l'Adour,FR0140,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure d’art des Pyrénées — Pau Tarbes,FR0141,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure des technologies industrielles avancées,FR0142,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale d'ingénieurs de Tarbes,FR0143,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Université de Perpignan - Via Domitia,FR0144,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Strasbourg,FR0145,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure des arts décoratifs de Strasbourg,FR0146,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale du génie de l'eau et de l'environnement de Strasbourg,FR0147,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut national des sciences appliquées de Strasbourg,FR0148,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Université de Strasbourg,FR0149,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université de Haute-Alsace,FR0150,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Lyon,FR0151,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure des beaux-arts de Lyon,FR0152,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École centrale de Lyon,FR0153,2017,FR,0.5,0.0,0.0,1.0,0.0,0.2,7.0
Institut national des sciences appliquées de Lyon,FR0154,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École catholique d'arts et métiers,FR0155,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université catholique de Lyon,FR0156,2017,FR,0.7,1.0,0.0,0.0,0.0,0.2,7.0
Université Claude Bernard - Lyon 1,FR0157,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université Lumière - Lyon 2,FR0158,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut régional d'administration de Lyon,FR0159,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,FR0160,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université Jean Moulin - Lyon 3,FR0161,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure des sciences de l'information et des bibliothèques,FR0162,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École nationale des travaux publics de l'État,FR0163,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Conservatoire national supérieur musique et danse de Lyon,FR0164,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Institut textile et chimique,FR0165,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure chimie physique électronique de Lyon,FR0166,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École des avocats Rhône-Alpes,FR0167,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École normale supérieure de Lyon,FR0168,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Le Mans Université,FR0169,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
