ETER_ID,reference_year,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
LV,2011,0.1183673469387754,2.2653061224489797,10.408163265306122,0.4897959183673469,0.0,0.31632653061224486,5.612244897959184
LV,2012,0.1183673469387754,2.163265306122449,10.408163265306122,0.5510204081632653,0.0,0.3183673469387755,5.612244897959184
LV,2013,0.24565217391304345,1.9782608695652173,4.130434782608695,0.5869565217391305,0.0,0.3391304347826088,5.804347826086956
LV,2014,0.11999999999999991,2.511111111111111,4.0,0.5555555555555556,0.0,0.6022222222222224,5.822222222222222
LV,2015,0.12045454545454537,2.2045454545454546,4.090909090909091,0.6590909090909091,0.0,0.6136363636363638,5.840909090909091
LV,2016,0.10227272727272728,2.1818181818181817,4.068181818181818,0.5909090909090909,0.0,0.6045454545454547,5.840909090909091
ME,2011,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,6.0
ME,2012,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2013,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2014,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2015,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2016,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
MK,2011,0.35,2.5,0.0,0.5,0.0,0.19999999999999998,6.0
MK,2012,0.35,2.2,0.0,0.0,0.0,0.19999999999999998,6.0
MK,2013,0.35,1.6,0.0,0.0,0.0,0.24000000000000005,6.0
MK,2014,0.43076923076923074,0.6153846153846154,0.0,0.15384615384615385,0.0,0.2615384615384616,5.3076923076923075
MK,2015,0.5428571428571429,0.5714285714285714,0.0,0.14285714285714285,0.0,0.2428571428571429,5.071428571428571
MK,2016,0.4687500000000001,0.4375,0.0,0.0625,0.0,0.29375000000000007,4.5625
MT,2011,1.0,2.0,0.0,0.0,0.0,1.0,6.0
MT,2012,1.0,3.0,0.0,0.0,0.0,1.0,6.0
MT,2013,1.0,2.5,0.0,0.0,0.0,1.0,5.0
MT,2014,1.0,2.5,0.0,0.5,0.0,1.0,5.0
MT,2015,1.0,2.5,0.0,0.0,0.0,1.0,5.0
MT,2016,1.0,4.0,0.0,0.0,0.0,1.0,5.0
NL,2011,0.028070175438596492,2.2982456140350878,0.0,0.07017543859649122,0.0,0.921052631578947,5.666666666666667
NL,2012,0.021818181818181816,2.090909090909091,0.0,0.09090909090909091,0.0,0.9399999999999998,5.909090909090909
NL,2013,0.019642857142857146,2.0357142857142856,0.0,0.125,0.0,0.9339285714285712,5.910714285714286
NL,2014,0.014285714285714287,2.017857142857143,0.0,0.19642857142857142,0.0,0.9446428571428569,5.910714285714286
NL,2015,0.01607142857142857,1.9642857142857142,0.0,0.14285714285714285,0.0,0.9499999999999996,5.910714285714286
NL,2016,0.012499999999999999,1.8392857142857142,0.0,0.17857142857142858,0.0,0.9410714285714282,5.910714285714286
NO,2011,0.862,1.74,0.0,0.68,0.0,0.8779999999999998,5.46
NO,2012,0.8360000000000001,1.26,0.0,0.38,0.0,0.8959999999999995,5.46
NO,2013,0.932,1.44,0.0,0.62,0.0,0.9379999999999997,5.46
NO,2014,0.8854166666666666,2.4791666666666665,0.0,0.3958333333333333,0.0,0.9437499999999998,5.5625
NO,2015,0.9895833333333334,2.4583333333333335,0.0,0.4166666666666667,0.0,0.9541666666666667,5.5625
NO,2016,0.962162162162162,2.891891891891892,0.0,0.2702702702702703,0.0,0.9378378378378377,5.621621621621622
PL,2011,0.2031468531468525,1.7377622377622377,0.0,0.6363636363636364,0.0,0.6202797202797211,5.608391608391608
PL,2012,0.21911764705882297,1.3713235294117647,0.0,0.6029411764705882,0.0,0.6371323529411771,5.908088235294118
PL,2013,0.22071428571428506,1.3964285714285714,0.0,0.5321428571428571,0.0,0.6321428571428579,5.860714285714286
PL,2014,0.22234042553191422,2.0886524822695036,0.0,0.3475177304964539,0.0,0.6744680851063828,5.843971631205674
PL,2015,0.22099644128113813,2.1565836298932384,0.0,0.298932384341637,0.0,0.6765124555160139,5.850533807829182
PL,2016,0.23138686131386804,1.602189781021898,0.0,0.32116788321167883,0.0,0.5784671532846719,5.872262773722627
PT,2011,0.4265486725663736,1.7168141592920354,0.0,0.7522123893805309,0.0,0.6327433628318585,5.017699115044247
PT,2012,0.4641509433962283,0.36792452830188677,0.0,0.6037735849056604,0.0,0.6613207547169813,5.264150943396227
PT,2013,0.4893617021276614,0.4787234042553192,0.0,0.5957446808510638,0.0,0.6776595744680851,5.670212765957447
PT,2014,0.5010989010989029,0.4945054945054945,0.0,0.38461538461538464,0.0,0.6923076923076924,5.791208791208791
PT,2015,0.502222222222224,0.9888888888888889,0.0,0.6888888888888889,0.0,0.6955555555555557,5.766666666666667
PT,2016,0.4843750000000018,0.8229166666666666,0.0,0.5416666666666666,0.0,0.6812500000000004,5.604166666666667
RO,2011,0.7056603773584916,0.3113207547169811,0.0,0.0,0.0,0.11037735849056594,5.537735849056604
RO,2012,0.7037735849056616,0.27358490566037735,0.0,0.0,0.0,0.11792452830188667,5.613207547169812
RO,2013,0.7000000000000013,0.26,0.0,0.0,0.0,0.1279999999999999,5.83
RO,2014,0.7000000000000012,0.13541666666666666,0.0,0.0,0.0,0.14479166666666649,5.947916666666667
RO,2015,0.7000000000000012,0.125,0.0,0.0,0.0,0.14583333333333315,5.947916666666667
RO,2016,0.7999999999999985,0.0,0.0,0.0,0.0,0.0,5.925531914893617
