x,y,institution_name,ETER_ID,reference_year,country_code,missing_perc,cons_perc
-7163.881058600235,1122.2792855678456,"École supérieure d'informatique, électronique, automatique",FR0206,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure des beaux-arts,FR0207,2017,FR,0.6,0.0
-5630.667316396777,1230.1856937622515,École des hautes études en sciences sociales,FR0208,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École centrale d'électronique,FR0209,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Paris-Val de Seine,FR0210,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure de création industrielle,FR0211,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École de formation professionnelle des barreaux de la cour d'appel de Paris,FR0212,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,Centre des études supérieures industrielles,FR0213,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut catholique d'arts et métiers,FR0214,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Pôle supérieur d’enseignement artistique Paris Boulogne-Billancourt,FR0215,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Normandie,FR0216,2017,FR,0.6,0.0
-5352.535564722676,1249.7603932981674,Institut national des sciences appliquées de Rouen,FR0217,2017,FR,0.5,0.2
19081.18928664713,2969.3872234964,Université de Rouen,FR0218,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'ingénieurs en génie électrique,FR0219,2017,FR,0.5,0.2
183.1834927908515,1639.360058254952,Université du Havre,FR0220,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École des officiers de la gendarmerie nationale,FR0222,2017,FR,0.6,0.0
4334.225119926873,1931.5071868124974,Université Paris-Est Marne-la-Vallée,FR0223,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale des ponts et chaussées,FR0224,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École d'architecture de la ville et des territoires à Marne-la-Vallée,FR0225,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,Université Paris-Est,FR0226,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d’architecture de Versailles,FR0227,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École des beaux-arts de Versailles,FR0228,2017,FR,0.8,0.0
6084.760445875686,2054.708521526006,Université de Versailles Saint-Quentin-en-Yvelines,FR0229,2017,FR,0.6,0.2
18071.341743830417,2898.314927331944,Université d'Amiens,FR0230,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,FR0231,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure des mines d'Albi-Carmaux,FR0232,2017,FR,0.6,0.2
-3669.7886226944333,1368.1908335011299,Institut national universitaire Jean-François-Champollion,FR0233,2017,FR,0.5,0.2
1606.739555122801,1739.5488429764155,Université de Toulon,FR0234,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut supérieur de l'électronique et du numérique Toulon,FR0235,2017,FR,0.5,0.2
-855.5738019919859,1566.253115902175,Université d'Avignon et des Pays de Vaucluse,FR0236,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut catholique d'études supérieures,FR0237,2017,FR,0.5,0.2
-6536.838507334971,1166.410059790395,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,FR0238,2017,FR,0.5,0.2
17356.57304866795,2848.010054331041,Université de Poitiers,FR0239,2017,FR,0.6,0.2
7595.045764106009,2161.0012448124326,Université de Limoges,FR0240,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure de céramique industrielle de Limoges,FR0241,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut d'ingénierie informatique de Limoges,FR0242,2017,FR,0.5,0.2
-4481.255453743598,1311.08041980136,Université de technologie de Belfort-Montbéliard,FR0243,2017,FR,0.6,0.2
-6685.374819160925,1155.9561879952282,Institut d'Optique Graduate School,FR0244,2017,FR,0.5,0.2
13009.14448576205,2542.0413637355914,Université Paris-Sud,FR0245,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École polytechnique,FR0247,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Télécom SudParis,FR0248,2017,FR,0.5,0.2
1615.7115471122881,1740.1802848969287,Université d'Évry-Val d'Essonne,FR0249,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Télécom École de Management,FR0250,2017,FR,0.5,0.2
-6600.639339260212,1161.9198061334107,École nationale supérieure d'informatique pour l'industrie et l'entreprise,FR0251,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure de techniques avancées,FR0252,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,EPF - École d'ingénieurs,FR0253,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure du pétrole et des moteurs,FR0254,2017,FR,0.6,0.2
19313.464190374965,2985.7345532163577,Université Paris Nanterre,FR0255,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École Nationale de la Statistique et de l’Administration Économique,FR0257,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École supérieure des techniques aéronautiques et de construction automobile,FR0258,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure d'ingénieurs Léonard-de-Vinci,FR0259,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure maritime,FR0260,2017,FR,0.7,0.0
-6571.729587294089,1163.9544523217317,Institut supérieur de mécanique de Paris,FR0261,2017,FR,0.4,0.2
12153.814582764282,2481.843900646644,Université Paris 13 - Paris Nord,FR0262,2017,FR,0.6,0.2
13577.370645096229,2582.0326853681076,Université Paris 8 - Vincennes - Saint-Denis,FR0263,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École Supérieure d'Ingénieurs en Électronique et Électrotechnique Paris,FR0264,2017,FR,0.5,0.2
-5901.820852079053,1211.1021157200673,École normale supérieure Paris-Saclay,FR0265,2017,FR,0.5,0.2
19151.968334564197,2974.368598647116,Université Paris-Est Créteil Val-de-Marne,FR0266,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École d'ingénieur généraliste en informatique et technologies du numérique,FR0267,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,ESME Sudria,FR0268,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'ingénieurs des travaux de la construction de Cachan,FR0269,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École pour l'informatique et les techniques avancées,FR0270,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut polytechnique des sciences avancées,FR0271,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,"École spéciale des travaux publics, du bâtiment et de l'industrie",FR0272,2017,FR,0.5,0.2
-6297.585387615317,1183.2485110040861,École nationale supérieure de l'électronique et de ses applications de Cergy,FR0273,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École internationale des sciences du traitement de l'information,FR0274,2017,FR,0.6,0.2
7074.670228715761,2124.377613422654,Université de Cergy-Pontoise,FR0275,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École d'ingénieur d'agro-développement international,FR0276,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut libre d'éducation physique supérieur,FR0277,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,ECAM - EPMI Graduate School of Engineering,FR0278,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École de biologie industrielle,FR0279,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut régional d'administration de Bastia,FR0280,2017,FR,0.8,0.0
-3590.037582787881,1373.8036505723603,Université de Corse Pasquale Paoli,FR0281,2017,FR,0.6,0.2
2144.0621864931945,1777.3651979938306,Université des Antilles,FR0282,2017,FR,0.6,0.2
5585.319558460906,2019.5582546174253,Université de La Réunion,FR0283,2017,FR,0.6,0.2
-4644.745085552029,1299.5741448053382,Université de la Nouvelle-Calédonie,FR0285,2017,FR,0.5,0.2
-4702.564589484279,1295.5048524286954,Université de la Polynésie Française,FR0286,2017,FR,0.5,0.2
-6140.077083799875,1194.3338247197667,Centre Universitaire de Mayotte,FR0287,2017,FR,0.4,0.2
38376.95339203734,4327.40831388061,Université de Bordeaux,FR0288,2017,FR,0.6,0.2
-4105.428678183972,1337.5308202495335,ESPE de l'académie d'Aix-Marseille,FR0289,2017,FR,0.4,0.2
